"PROBEID","ID","Gene.title","Gene.symbol","Gene.ID","UniGene.title","UniGene.symbol","UniGene.ID","Nucleotide.Title","GI","GenBank.Accession","Platform_CLONEID","Platform_ORF","Platform_SPOTID","Chromosome.location","Chromosome.annotation","GO.Function","GO.Process","GO.Component","GO.Function.ID","GO.Process.ID","GO.Component.ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"1553004_at","1553004_at","polycystin 1 like 1, transient receptor potential channel interacting","PKD1L1","168507","","","","Homo sapiens polycystin 1 like 1, transient receptor potential channel interacting (PKD1L1), mRNA",315434237,"NM_138295",NA,NA,"","7p12.3","Chromosome 7, NC_000007.14 (47774603..47958622, complement)","calcium channel activity///protein binding","calcium ion transmembrane transport///detection of mechanical stimulus///detection of nodal flow///left/right axis specification///single organismal cell-cell adhesion","calcium channel complex///ciliary membrane///cilium///membrane///nonmotile primary cilium","GO:0005262///GO:0005515","GO:0070588///GO:0050982///GO:0003127///GO:0070986///GO:0016337","GO:0034704///GO:0060170///GO:0005929///GO:0016020///GO:0031513",-0.617320866666665,3.60499827272727,-2.65559520740863,0.013869762547774,0.999988917839134,-4.3399871636615,"PKD1L1","polycystin 1 like 1, transient receptor potential channel interacting"
"1553099_at","1553099_at","tigger transposable element derived 1","TIGD1","200765","","","","Homo sapiens tigger transposable element derived 1 (TIGD1), mRNA",733605312,"NM_145702",NA,NA,"","2q37.1","Chromosome 2, NC_000002.12 (232547970..232550590, complement)","DNA binding","","nucleus","GO:0003677","","GO:0005634",0.759966766666669,6.18064868181818,2.19147063664365,0.0384022703837151,0.999988917839134,-4.42383817139347,"TIGD1","tigger transposable element derived 1"
"1553111_a_at","1553111_a_at","kelch repeat and BTB domain containing 6","KBTBD6","89890","","","","Homo sapiens kelch repeat and BTB domain containing 6 (KBTBD6), mRNA",58761533,"NM_152903",NA,NA,"","13q14.11","Chromosome 13, NC_000013.11 (41127573..41132800, complement)","molecular_function///protein binding///contributes_to ubiquitin-protein transferase activity","biological_process///protein ubiquitination","Cul3-RING ubiquitin ligase complex///cellular_component","GO:0003674///GO:0005515///contributes_to GO:0004842","GO:0008150///GO:0016567","GO:0031463///GO:0005575",-1.0199418,3.36198640909091,-2.95798217658996,0.00687414458125833,0.999988917839134,-4.28405252510642,"KBTBD6","kelch repeat and BTB domain containing 6"
"1553140_at","1553140_at","pelota homolog (Drosophila)","PELO","53918","","","","Homo sapiens pelota homolog (Drosophila) (PELO), mRNA",31880782,"NM_015946",NA,NA,"","5q11.2","Chromosome 5, NC_000005.10 (52787940..52802617)","endonuclease activity///metal ion binding///protein binding","RNA surveillance///cell cycle///cell division///cell proliferation///chromosome organization///nuclear-transcribed mRNA catabolic process, no-go decay///nuclear-transcribed mRNA catabolic process, non-stop decay///nucleic acid phosphodiester bond hydrolysis","cytoplasm///nucleus","GO:0004519///GO:0046872///GO:0005515","GO:0071025///GO:0007049///GO:0051301///GO:0008283///GO:0051276///GO:0070966///GO:0070481///GO:0090305","GO:0005737///GO:0005634",1.29574036666667,5.468172,2.13601506661476,0.0431255965377321,0.999988917839134,-4.4335289860045,"PELO","pelota mRNA surveillance and ribosome rescue factor"
"1553162_x_at","1553162_x_at","proline and serine rich 3","PROSER3","148137","","","","",NA,"",NA,NA,"","19q13.12","Chromosome 19, NC_000019.10 (35758139..35770115)","","","","","","",0.876773300000004,6.60655754545455,3.50325062382337,0.00183557403983101,0.999988917839134,-4.18409051302935,"PROSER3","proline and serine rich 3"
"1553229_at","1553229_at","zinc finger protein 572","ZNF572","137209","","","","Homo sapiens zinc finger protein 572 (ZNF572), mRNA",223468694,"NM_152412",NA,NA,"","8q24.13","Chromosome 8, NC_000008.11 (124973297..124979389)","DNA binding///metal ion binding///protein binding","regulation of transcription, DNA-templated///transcription, DNA-templated","nucleus","GO:0003677///GO:0046872///GO:0005515","GO:0006355///GO:0006351","GO:0005634",-0.449565866666666,2.5874285,-2.1558646175564,0.0413779912416358,0.999988917839134,-4.43007104702223,"ZNF572","zinc finger protein 572"
"1553306_at","1553306_at","caspase 8","CASP8","841","","","","Homo sapiens caspase 8 (CASP8), transcript variant E, mRNA",122056472,"NM_033358",NA,NA,"","2q33-q34","Chromosome 2, NC_000002.12 (201233443..201287711)","cysteine-type endopeptidase activity///cysteine-type endopeptidase activity///cysteine-type endopeptidase activity involved in apoptotic process///cysteine-type endopeptidase activity involved in apoptotic signaling pathway///cysteine-type peptidase activity///death effector domain binding///death receptor binding///identical protein binding///peptidase activity///protein binding///protein complex binding///scaffold protein binding///tumor necrosis factor receptor binding///ubiquitin protein ligase binding","B cell activation///T cell activation///TRAIL-activated apoptotic signaling pathway///TRIF-dependent toll-like receptor signaling pathway///activation of cysteine-type endopeptidase activity///activation of cysteine-type endopeptidase activity involved in apoptotic process///activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway///apoptotic process///apoptotic process///apoptotic signaling pathway///apoptotic signaling pathway///cell surface receptor signaling pathway///cellular component disassembly involved in execution phase of apoptosis///cellular response to mechanical stimulus///cellular response to organic cyclic compound///death-inducing signaling complex assembly///execution phase of apoptosis///extrinsic apoptotic signaling pathway///macrophage differentiation///natural killer cell activation///negative regulation of I-kappaB kinase/NF-kappaB signaling///negative regulation of extrinsic apoptotic signaling pathway via death domain receptors///nucleotide-binding oligomerization domain containing signaling pathway///positive regulation of I-kappaB kinase/NF-kappaB signaling///positive regulation of I-kappaB kinase/NF-kappaB signaling///positive regulation of macrophage differentiation///positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway///positive regulation of proteolysis///protein heterooligomerization///proteolysis///proteolysis involved in cellular protein catabolic process///regulation of extrinsic apoptotic signaling pathway via death domain receptors///regulation of necrotic cell death///regulation of tumor necrosis factor-mediated signaling pathway///response to antibiotic///response to cobalt ion///response to cold///response to estradiol///response to ethanol///response to lipopolysaccharide///response to tumor necrosis factor///suppression by virus of host cysteine-type endopeptidase activity involved in apoptotic process///syncytiotrophoblast cell differentiation involved in labyrinthine layer development","CD95 death-inducing signaling complex///cell body///cytoplasm///cytoskeleton///cytosol///cytosol///death-inducing signaling complex///membrane raft///microtubule organizing center///mitochondrial outer membrane///mitochondrion///neuron projection///nucleoplasm///ripoptosome","GO:0004197///GO:0004197///GO:0097153///GO:0097199///GO:0008234///GO:0035877///GO:0005123///GO:0042802///GO:0008233///GO:0005515///GO:0032403///GO:0097110///GO:0005164///GO:0031625","GO:0042113///GO:0042110///GO:0036462///GO:0035666///GO:0097202///GO:0006919///GO:0097296///GO:0006915///GO:0006915///GO:0097190///GO:0097190///GO:0007166///GO:0006921///GO:0071260///GO:0071407///GO:0071550///GO:0097194///GO:0097191///GO:0030225///GO:0030101///GO:0043124///GO:1902042///GO:0070423///GO:0043123///GO:0043123///GO:0045651///GO:1900740///GO:0045862///GO:0051291///GO:0006508///GO:0051603///GO:1902041///GO:0010939///GO:0010803///GO:0046677///GO:0032025///GO:0009409///GO:0032355///GO:0045471///GO:0032496///GO:0034612///GO:0039650///GO:0060715","GO:0031265///GO:0044297///GO:0005737///GO:0005856///GO:0005829///GO:0005829///GO:0031264///GO:0045121///GO:0005815///GO:0005741///GO:0005739///GO:0043005///GO:0005654///GO:0097342",-0.616188533333331,5.52755331818182,-2.90885937227416,0.00771778284696724,0.999988917839134,-4.29315264166365,"CASP8","caspase 8"
"1553328_a_at","1553328_a_at","solute carrier family 18 member A2","SLC18A2","6571","","","","Homo sapiens solute carrier family 18 member A2 (SLC18A2), mRNA",295148077,"NM_003054",NA,NA,"","10q25","Chromosome 10, NC_000010.11 (117241073..117279430)","amine transmembrane transporter activity///drug binding///enzyme binding///heat shock protein binding///monoamine transmembrane transporter activity///serotonin transmembrane transporter activity","aging///aminergic neurotransmitter loading into synaptic vesicle///cellular response to ammonium ion///cellular response to drug///chemical synaptic transmission///dopamine transport///endocytic recycling///glucose homeostasis///insulin secretion///locomotory behavior///monoamine transport///negative regulation of neurotransmitter transport///negative regulation of reactive oxygen species biosynthetic process///neurotransmitter loading into synaptic vesicle///neurotransmitter secretion///post-embryonic development///response to amphetamine///response to cocaine///response to corticosterone///response to herbicide///response to starvation///response to zinc ion///sequestering of neurotransmitter///serotonin transport///transmembrane transport","clathrin-sculpted monoamine transport vesicle membrane///dense core granule///integral component of plasma membrane///membrane///neuronal cell body///plasma membrane///synaptic vesicle///synaptic vesicle membrane///terminal bouton","GO:0005275///GO:0008144///GO:0019899///GO:0031072///GO:0008504///GO:0015222","GO:0007568///GO:0015842///GO:0071242///GO:0035690///GO:0007268///GO:0015872///GO:0032456///GO:0042593///GO:0030073///GO:0007626///GO:0015844///GO:0051589///GO:1903427///GO:0098700///GO:0007269///GO:0009791///GO:0001975///GO:0042220///GO:0051412///GO:0009635///GO:0042594///GO:0010043///GO:0042137///GO:0006837///GO:0055085","GO:0070083///GO:0031045///GO:0005887///GO:0016020///GO:0043025///GO:0005886///GO:0008021///GO:0030672///GO:0043195",-0.931725933333332,4.35507590909091,-2.57306125081773,0.0167181064684386,0.999988917839134,-4.3551557271493,"SLC18A2","solute carrier family 18 member A2"
"1553385_at","1553385_at","long intergenic non-protein coding RNA 1101","LINC01101","84931","","","","",NA,"",NA,NA,"","2q14.2","Chromosome 2, NC_000002.12 (120464335..120466349, complement)","","","","","","",-0.739862066666664,4.34698590909091,-2.56308840846649,0.0170970931271396,0.999988917839134,-4.35698344281796,"LINC01101","long intergenic non-protein coding RNA 1101"
"1553452_at","1553452_at","myosin IH","MYO1H","283446","","","","",NA,"",NA,NA,"","12q24.11","Chromosome 12, NC_000012.12 (109388277..109448371)","ATP binding///actin binding///motor activity","","myosin complex","GO:0005524///GO:0003779///GO:0003774","","GO:0016459",-0.487094833333332,4.4341915,-2.07183009240528,0.0492391455726918,0.999988917839134,-4.44462320474992,"MYO1H","myosin IH"
"1553498_at","1553498_at","","","","","","","",NA,"",NA,NA,"","","","","","","","","",-0.708179966666664,3.95198540909091,-2.46398668381921,0.0213229948979455,0.999988917839134,-4.37507141571925,NA,NA
"1553636_at","1553636_at","transmembrane and coiled-coil domains 5A","TMCO5A","145942","","","","Homo sapiens transmembrane and coiled-coil domains 5A (TMCO5A), mRNA",735997390,"NM_152453",NA,NA,"","15q14","Chromosome 15, NC_000015.10 (37934607..37997541)","","","integral component of membrane","","","GO:0016021",1.6366896,4.89011204545455,2.27730596781861,0.0320084400372227,0.999988917839134,-4.40866569370553,"TMCO5A","transmembrane and coiled-coil domains 5A"
"1553639_a_at","1553639_a_at","PPARG coactivator 1 beta","PPARGC1B","133522","","","","Homo sapiens PPARG coactivator 1 beta (PPARGC1B), transcript variant 1, mRNA",289577087,"NM_133263",NA,NA,"","5q32","Chromosome 5, NC_000005.10 (149730252..149857861)","AF-2 domain binding///RNA binding///RNA polymerase II transcription cofactor activity///estrogen receptor binding///ligand-dependent nuclear receptor transcription coactivator activity///nucleotide binding///receptor activator activity///transcription factor binding","actin filament organization///bone trabecula formation///cellular response to reactive oxygen species///intracellular estrogen receptor signaling pathway///mitochondrion organization///negative regulation of transcription, DNA-templated///ossification///positive regulation of alkaline phosphatase activity///positive regulation of bone resorption///positive regulation of osteoclast differentiation///positive regulation of phosphorylation///positive regulation of receptor activity///positive regulation of sequence-specific DNA binding transcription factor activity///positive regulation of transcription from RNA polymerase II promoter///regulation of transcription, DNA-templated///response to cAMP///response to glucocorticoid///transcription from mitochondrial promoter","mediator complex///mitochondrion///nucleoplasm///nucleus","GO:0050682///GO:0003723///GO:0001104///GO:0030331///GO:0030374///GO:0000166///GO:0030546///GO:0008134","GO:0007015///GO:0060346///GO:0034614///GO:0030520///GO:0007005///GO:0045892///GO:0001503///GO:0010694///GO:0045780///GO:0045672///GO:0042327///GO:2000273///GO:0051091///GO:0045944///GO:0006355///GO:0051591///GO:0051384///GO:0006390","GO:0016592///GO:0005739///GO:0005654///GO:0005634",0.537079500000003,4.65539218181818,2.46839119577139,0.0211162590475173,0.999988917839134,-4.37427067748974,"PPARGC1B","PPARG coactivator 1 beta"
"1553703_at","1553703_at","zinc finger protein 791","ZNF791","163049","","","","Homo sapiens zinc finger protein 791 (ZNF791), mRNA",190886443,"NM_153358",NA,NA,"","19p13.2","Chromosome 19, NC_000019.10 (12610918..12631921)","DNA binding///metal ion binding","regulation of transcription, DNA-templated///transcription, DNA-templated","nucleus","GO:0003677///GO:0046872","GO:0006355///GO:0006351","GO:0005634",0.854960633333335,4.75034072727273,2.25336574995787,0.0336866237435928,0.999988917839134,-4.41291717546805,"ZNF791","zinc finger protein 791"
"1553704_x_at","1553704_x_at","zinc finger protein 791","ZNF791","163049","","","","Homo sapiens zinc finger protein 791 (ZNF791), mRNA",190886443,"NM_153358",NA,NA,"","19p13.2","Chromosome 19, NC_000019.10 (12610918..12631921)","DNA binding///metal ion binding","regulation of transcription, DNA-templated///transcription, DNA-templated","nucleus","GO:0003677///GO:0046872","GO:0006355///GO:0006351","GO:0005634",0.688045833333336,4.93981068181818,2.43749923750559,0.0226062621267438,0.999988917839134,-4.37987987950338,"ZNF791","zinc finger protein 791"
"1553792_at","1553792_at","KIAA1109","KIAA1109","84162","","","","",NA,"",NA,NA,"","4q27","Chromosome 4, NC_000004.12 (122152333..122362759)","protein binding","regulation of cell growth///regulation of epithelial cell differentiation","integral component of membrane///membrane///nucleus","GO:0005515","GO:0001558///GO:0030856","GO:0016021///GO:0016020///GO:0005634",-0.522120999999999,2.27975881818182,-2.10821003877562,0.0456851254313898,0.999988917839134,-4.43835177872763,"BLTP1","bridge-like lipid transfer protein family member 1"
"1553923_at","1553923_at","solute carrier family 22 member 24","SLC22A24","283238","","","","Homo sapiens solute carrier family 22 member 24 (SLC22A24), transcript variant 2, mRNA",589908389,"NM_173586",NA,NA,"","11q12.3","Chromosome 11, NC_000011.10 (63079940..63144822, complement)","inorganic anion exchanger activity///sodium-independent organic anion transmembrane transporter activity","inorganic anion transport///sodium-independent organic anion transport///transmembrane transport","integral component of plasma membrane","GO:0005452///GO:0015347","GO:0015698///GO:0043252///GO:0055085","GO:0005887",-0.640977599999999,3.14576436363636,-2.14593588669952,0.0422440140439475,0.999988917839134,-4.43180224030157,"SLC22A24","solute carrier family 22 member 24"
"1553989_a_at","1553989_a_at","ATPase H+ transporting V1 subunit C2","ATP6V1C2","245973","","","","Homo sapiens V-ATPase C2 subunit (ATP6V1C2) mRNA, complete cds",22535300,"AY039759",NA,NA,"","","Chromosome 2, NC_000002.12 (10720974..10785110)","hydrogen-exporting ATPase activity, phosphorylative mechanism///protein dimerization activity","ATP hydrolysis coupled proton transport///insulin receptor signaling pathway///ion transmembrane transport///phagosome acidification///positive regulation of Wnt signaling pathway///regulation of macroautophagy///transferrin transport","cytosol///extracellular exosome///lysosomal membrane///proton-transporting V-type ATPase, V1 domain","GO:0008553///GO:0046983","GO:0015991///GO:0008286///GO:0034220///GO:0090383///GO:0030177///GO:0016241///GO:0033572","GO:0005829///GO:0070062///GO:0005765///GO:0033180",-0.589931,4.64989227272727,-2.07878232603001,0.0485414698389874,0.999988917839134,-4.44342821636851,"ATP6V1C2","ATPase H+ transporting V1 subunit C2"
"1553997_a_at","1553997_a_at","aspartate beta-hydroxylase domain containing 1","ASPHD1","253982","","","","Homo sapiens aspartate beta-hydroxylase domain containing 1, mRNA (cDNA clone IMAGE:4156741), partial cds",34189600,"BC034275",NA,NA,"","16p11.2","Chromosome 16, NC_000016.10 (29900392..29919860)","dioxygenase activity","oxidation-reduction process///peptidyl-amino acid modification","integral component of membrane","GO:0051213","GO:0055114///GO:0018193","GO:0016021",0.583694933333336,6.70176790909091,2.18601737279926,0.0388451127630566,0.999988917839134,-4.42479520767492,"ASPHD1","aspartate beta-hydroxylase domain containing 1"
"1554010_at","1554010_at","N-deacetylase and N-sulfotransferase 1","NDST1","3340","","","","Homo sapiens N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1, mRNA (cDNA clone MGC:9410 IMAGE:3882074), complete cds",15277596,"BC012888",NA,NA,"","5q33.1","Chromosome 5, NC_000005.10 (150485783..150558211)","N-acetylglucosamine deacetylase activity///[heparan sulfate]-glucosamine N-sulfotransferase activity///protein binding","MAPK cascade///aorta development///cardiac septum development///coronary vasculature development///embryonic neurocranium morphogenesis///embryonic viscerocranium morphogenesis///fibroblast growth factor receptor signaling pathway///forebrain development///glycosaminoglycan biosynthetic process///heparan sulfate proteoglycan biosynthetic process///heparin biosynthetic process///inflammatory response///midbrain development///polysaccharide biosynthetic process///protein sulfation///respiratory gaseous exchange///smoothened signaling pathway","Golgi membrane///integral component of membrane","GO:0050119///GO:0015016///GO:0005515","GO:0000165///GO:0035904///GO:0003279///GO:0060976///GO:0048702///GO:0048703///GO:0008543///GO:0030900///GO:0006024///GO:0015012///GO:0030210///GO:0006954///GO:0030901///GO:0000271///GO:0006477///GO:0007585///GO:0007224","GO:0000139///GO:0016021",-0.642381666666664,5.774311,-2.06676647982902,0.0497529098463903,0.999988917839134,-4.44549250917579,"NDST1","N-deacetylase and N-sulfotransferase 1"
